dataset,kem_backend,sig_backend,backend_label,round,loss,accuracy,f1_score,fl_time_sec,train_time_sec,learning_rate,batch_size,time_adv_keys,time_share_keys,time_verify_sigs,time_masked,time_unmask,time_secagg_total
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),49,0.086657,0.9735,,5716.358,107.106,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),50,0.085796,0.9731,,5829.964,105.717,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),1,1.06926,0.7942,,113.902,105.409,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),2,0.424039,0.8831,,233.898,111.901,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),3,0.341856,0.9039,,347.652,104.957,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),4,0.299604,0.9142,,460.127,104.29,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),5,0.273869,0.9211,,571.663,103.814,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),6,0.247303,0.9292,,683.664,104.106,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),7,0.231206,0.9332,,798.295,106.448,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),8,0.217522,0.9367,,914.175,107.528,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),9,0.203357,0.9398,,1027.517,105.234,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),10,0.193855,0.9447,,1140.849,104.897,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),11,0.184534,0.9459,,1256.019,106.389,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),12,0.177351,0.9488,,1368.335,104.289,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),13,0.168982,0.9524,,1480.222,103.63,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),14,0.164568,0.9531,,1592.476,104.51,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),15,0.156656,0.956,,1708.421,107.977,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),16,0.151934,0.9575,,1820.711,103.948,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),17,0.149648,0.9588,,1937.224,107.092,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),18,0.143767,0.9596,,2053.825,108.34,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),19,0.140948,0.9605,,2168.286,106.594,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),20,0.137232,0.9618,,2281.522,105.094,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),21,0.132793,0.9615,,2394.468,105.273,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),22,0.131485,0.9623,,2508.122,105.758,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),23,0.128626,0.9621,,2625.943,108.774,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),24,0.126558,0.9636,,2741.087,106.48,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),25,0.123588,0.9636,,2854.374,105.338,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),26,0.120118,0.9648,,2968.677,106.205,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),27,0.11781,0.9648,,3083.969,107.248,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),28,0.116394,0.9655,,3196.783,104.711,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),29,0.116202,0.9648,,3318.88,114.107,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),30,0.113598,0.9655,,3433.482,106.021,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),31,0.11177,0.9664,,3551.013,109.391,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),32,0.111582,0.9665,,3672.882,109.991,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),33,0.107876,0.9687,,3796.607,115.782,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),34,0.106125,0.9677,,3911.706,107.046,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),35,0.105726,0.9691,,4025.57,105.761,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),36,0.102716,0.9688,,4139.867,106.151,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),37,0.101853,0.9687,,4251.58,103.988,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),38,0.100342,0.9702,,4365.278,105.622,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),39,0.098905,0.9703,,4477.824,104.298,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),40,0.097851,0.9713,,4593.2,107.16,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),41,0.097205,0.9703,,4706.437,105.833,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),42,0.094202,0.9714,,4819.43,104.904,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
mnist,ML-KEM-768,SLH-DSA-shake_128f,Full PQ (ML-KEM+SPHINCS+),43,0.094032,0.9708,,4933.496,106.17,0.001,64,2.944488,0.243759,1.232891,1.979072,0.417532,6.817742
