dataset,n_clients,local_epochs,dropout_rate,backend,round,loss,accuracy
mnist,5,3,0.05,pq,6,0.033804,0.9888
mnist,5,3,0.05,pq,7,0.033603,0.9885
mnist,5,3,0.05,pq,8,0.03301,0.9889
mnist,5,3,0.05,pq,9,0.031633,0.989
mnist,5,3,0.05,pq,10,0.030504,0.99
mnist,5,3,0.05,pq,11,0.030508,0.9901
mnist,5,3,0.05,pq,12,0.029077,0.991
mnist,5,3,0.05,pq,13,0.028921,0.9907
mnist,5,3,0.05,pq,14,0.028296,0.9908
mnist,5,3,0.05,pq,15,0.030123,0.9899
mnist,5,3,0.05,pq,16,0.028988,0.9906
mnist,5,3,0.05,pq,17,0.030366,0.9908
mnist,5,3,0.05,pq,18,0.02908,0.9906
mnist,5,3,0.05,pq,19,0.029833,0.9907
mnist,5,3,0.05,pq,20,0.030094,0.9906
mnist,10,1,0.0,original,1,1.7477791086999332e+20,0.1573
mnist,10,1,0.0,original,2,4.456890087845761e+20,0.1049
mnist,10,1,0.0,original,3,1.0768567370989741e+21,0.1085
mnist,10,1,0.0,original,4,1.5742100938143328e+21,0.1108
mnist,10,1,0.0,original,5,1.762541383215032e+21,0.1095
mnist,10,1,0.0,original,6,2.654760015443851e+21,0.0417
mnist,10,1,0.0,original,7,3.0857212785301966e+21,0.0703
mnist,10,1,0.0,original,8,4.2259624705442175e+21,0.0726
mnist,10,1,0.0,original,9,5.263581932984158e+21,0.053
mnist,10,1,0.0,original,10,6.810241493192573e+21,0.0562
mnist,10,1,0.0,original,11,7.263632571232906e+21,0.0603
mnist,10,1,0.0,original,12,8.378005040149875e+21,0.0885
mnist,10,1,0.0,original,13,9.383737269831377e+21,0.0528
mnist,10,1,0.0,original,14,9.953472346451285e+21,0.0708
mnist,10,1,0.0,original,15,1.301094746515194e+22,0.0951
mnist,10,1,0.0,original,16,1.0429732688987888e+22,0.0897
mnist,10,1,0.0,original,17,1.4094639319233434e+22,0.1066
mnist,10,1,0.0,original,18,1.453754249192346e+22,0.0664
mnist,10,1,0.0,original,19,1.7149664841826208e+22,0.1018
mnist,10,1,0.0,original,20,1.9920851768920213e+22,0.1081
mnist,10,1,0.0,pq,1,0.287954,0.9183
mnist,10,1,0.0,pq,2,0.199648,0.9447
mnist,10,1,0.0,pq,3,0.149198,0.9579
mnist,10,1,0.0,pq,4,0.123962,0.9651
mnist,10,1,0.0,pq,5,0.105092,0.9699
mnist,10,1,0.0,pq,6,0.091847,0.9724
mnist,10,1,0.0,pq,7,0.080662,0.9762
mnist,10,1,0.0,pq,8,0.075526,0.978
mnist,10,1,0.0,pq,9,0.068358,0.9789
mnist,10,1,0.0,pq,10,0.063873,0.9807
mnist,10,1,0.0,pq,11,0.061338,0.9807
mnist,10,1,0.0,pq,12,0.058845,0.9813
mnist,10,1,0.0,pq,13,0.054518,0.982
mnist,10,1,0.0,pq,14,0.053816,0.9823
mnist,10,1,0.0,pq,15,0.049987,0.9836
mnist,10,1,0.0,pq,16,0.049022,0.9843
mnist,10,1,0.0,pq,17,0.047892,0.9841
mnist,10,1,0.0,pq,18,0.046041,0.985
mnist,10,1,0.0,pq,19,0.045069,0.9859
mnist,10,1,0.0,pq,20,0.042888,0.9865
